Amplitudes of fake point source in maps
Cluster   amp(jy)    X_loc(pixels)    y_loc(pixels)
ACT-CLJ0943.7+0059   0.00700000      214.033      214.033
ACT-CLJ0947.9-0120   0.00300000      163.000      266.000
ACT-CLJ0951.6-0014   0.00100000      162.000      160.000
ACT-CLJ0956.1+0158    0.0300000      173.607      170.607
ACT-CLJ0957.6+0234   0.00700000      163.000      204.000
ACT-CLJ1005.5+0235   0.00300000      240.000      159.000
ACT-CLJ1006.9+0255   0.00100000      237.246      233.246
ACT-CLJ1020.1-0013    0.0300000      162.000      160.000
ACT-CLJ1020.3-0100   0.00700000      177.000      159.000
ACT-CLJ1027.8+0004   0.00300000      193.820      191.820
ACT-CLJ1029.9+0016   0.00100000      163.000      234.000
ACT-CLJ1031.2+0031    0.0300000      267.000      159.000
ACT-CLJ1032.1-0249   0.00700000      163.000      160.000
ACT-CLJ1035.1+0249   0.00300000      150.000      157.000
ACT-CLJ0916.8-0059   0.00100000      200.000      157.000
ACT-CLJ0918.7+0211    0.0300000      210.033      210.033
ACT-CLJ0920.4+0134   0.00700000      155.000      263.000
ACT-CLJ0921.0-0148   0.00300000      157.000      159.000
ACT-CLJ0921.3+0317   0.00100000      168.607      169.607
ACT-CLJ0922.1+0346    0.0300000      159.000      205.000
ACT-CLJ0922.1-0027   0.00700000      235.000      160.000
ACT-CLJ0930.4+0216   0.00300000      235.246      234.246
ACT-CLJ0935.0+0053   0.00100000      160.000      160.000
ACT-CLJ0935.2+0048    0.0300000      176.000      160.000
ACT-CLJ0935.3+0233   0.00700000      192.820      192.820
ACT-CLJ0940.9+0322   0.00300000      161.000      235.000
ACT-CLJ0943.7+0059   0.00100000      266.000      161.000
ACT-CLJ0947.9-0120    0.0300000      163.000      161.000
ACT-CLJ0951.6-0014   0.00700000      162.000      175.000
ACT-CLJ0956.1+0158   0.00300000      208.000      160.000
ACT-CLJ0957.6+0234   0.00100000      216.033      212.033
ACT-CLJ1005.5+0235    0.0300000      165.000      264.000
ACT-CLJ1006.9+0255   0.00700000      163.000      159.000
ACT-CLJ1020.1-0013   0.00300000      172.607      170.607
ACT-CLJ1020.3-0100   0.00100000      162.000      204.000
ACT-CLJ1027.8+0004    0.0300000      237.000      160.000
ACT-CLJ1029.9+0016   0.00700000      237.246      233.246
ACT-CLJ1031.2+0031   0.00300000      162.000      159.000
ACT-CLJ1032.1-0249   0.00100000      178.000      160.000
ACT-CLJ1035.1+0249    0.0300000      181.820      173.820
ACT-CLJ1035.1-0248   0.00700000      152.000      233.000
ACT-CLJ1035.4-0001   0.00300000      257.000      158.000
ACT-CLJ1036.2-0223   0.00100000      152.000      158.000
ACT-CLJ1107.4+0121    0.0300000      153.000      174.000
ACT-CLJ1110.2-0030   0.00700000      197.000      159.000
ACT-CLJ1110.3+0143   0.00300000      205.033      212.033
ACT-CLJ1110.8+0216   0.00100000      151.000      264.000
ACT-CLJ1111.1+0044    0.0300000      151.000      159.000
ACT-CLJ1112.8+0229   0.00700000      162.607      168.607
ACT-CLJ1116.7+0218   0.00300000      151.000      203.000
ACT-CLJ1116.9-0036   0.00100000      228.000      158.000
ACT-CLJ1117.9-0211    0.0300000      227.246      230.246
ACT-CLJ1118.7+0039   0.00700000      153.000      156.000
ACT-CLJ1118.9-0041   0.00300000      173.000      159.000
ACT-CLJ1125.7+0010   0.00100000      188.820      191.820
ACT-CLJ1127.5+0003    0.0300000      157.000      235.000
ACT-CLJ1128.3-0058   0.00700000      265.000      160.000
ACT-CLJ1129.8+0256   0.00300000      160.000      161.000
ACT-CLJ1131.6-0107   0.00100000      161.000      175.000
ACT-CLJ1134.0+0116    0.0300000      207.000      160.000
ACT-CLJ1136.9+0006   0.00700000      214.033      213.033
ACT-CLJ1138.5-0011   0.00300000      160.000      266.000
ACT-CLJ1139.3+0154   0.00100000      162.000      158.000
ACT-CLJ1144.0+0440    0.0300000      162.607      168.607
ACT-CLJ1144.2+0227   0.00700000      153.000      202.000
ACT-CLJ1145.1-0100   0.00300000      227.000      157.000
ACT-CLJ1148.0-0234   0.00100000      228.246      231.246
ACT-CLJ1152.2+0031    0.0300000      154.000      157.000
ACT-CLJ1152.5+0356   0.00700000      170.000      159.000
ACT-CLJ1153.4+0259   0.00300000      187.820      190.820
ACT-CLJ1154.2+0221   0.00100000      157.000      235.000
ACT-CLJ1158.3+0228    0.0300000      263.000      160.000
ACT-CLJ1158.9-0244   0.00700000      158.000      160.000
ACT-CLJ1200.9-0125   0.00300000      158.000      175.000
ACT-CLJ1202.8-0230   0.00100000      205.000      160.000
ACT-CLJ1203.9+0126    0.0300000      213.033      214.033
ACT-CLJ1205.3-0245   0.00700000      160.000      265.000
ACT-CLJ1205.5+0214   0.00300000      161.000      160.000
ACT-CLJ1208.3+0254   0.00100000      171.607      170.607
ACT-CLJ1210.2+0223    0.0300000      164.000      205.000
ACT-CLJ1210.2+0321   0.00700000      238.000      160.000
ACT-CLJ1218.5+0233   0.00300000      237.246      234.246
ACT-CLJ1220.4-0240   0.00100000      163.000      161.000
ACT-CLJ1222.4-0127    0.0300000      179.000      160.000
ACT-CLJ1222.6-0214   0.00700000      194.820      191.820
ACT-CLJ1224.3+0211   0.00300000      157.000      233.000
ACT-CLJ1238.5-0004   0.00100000      261.000      157.000
ACT-CLJ1241.0+0010    0.0300000      157.000      158.000
ACT-CLJ1245.0+0231   0.00700000      154.000      173.000
ACT-CLJ1249.7+0145   0.00300000      201.000      159.000
ACT-CLJ1250.6+0036   0.00100000      433.033      367.033
ACT-CLJ1250.6+0036    0.0300000      159.000      265.000
ACT-CLJ1256.7+0235   0.00700000      158.000      160.000
ACT-CLJ1258.4+0043   0.00300000      169.607      170.607
ACT-CLJ1258.8+0059   0.00100000      160.000      205.000
ACT-CLJ1301.2+0218    0.0300000      235.000      160.000
ACT-CLJ1311.5-0119   0.00700000      232.246      234.246
ACT-CLJ1315.0+0121   0.00300000      160.000      160.000
ACT-CLJ1322.9-0227   0.00100000      173.000      160.000
ACT-CLJ1324.9+0223    0.0300000      192.820      192.820
ACT-CLJ1325.0+0209   0.00700000      162.000      235.000
ACT-CLJ0914.7+0011   0.00300000      260.000      160.000
ACT-CLJ0915.9-0132   0.00100000      155.000      159.000
ACT-CLJ0916.1-0024    0.0300000      154.000      174.000
ACT-CLJ0916.7+0155   0.00700000      198.000      158.000
ACT-CLJ1020.1-0013   0.00300000      213.033      213.033
ACT-CLJ0913.2+0349   0.00100000      155.000      260.000
ACT-CLJ1020.3-0100    0.0300000      153.000      153.000
ACT-CLJ1031.2+0031   0.00700000      164.607      164.607
ACT-CLJ1032.1-0249   0.00300000      152.000      200.000
ACT-CLJ1035.1+0249   0.00100000      228.000      157.000
ACT-CLJ1036.9+0154    0.0300000      226.246      231.246
ACT-CLJ1049.3-0002   0.00700000      152.000      155.000
ACT-CLJ1050.6+0017   0.00300000      167.000      155.000
ACT-CLJ1053.7-0156   0.00100000      184.820      187.820
ACT-CLJ1118.7+0039    0.0300000      152.000      231.000
ACT-CLJ1118.9-0041   0.00700000      257.000      157.000
ACT-CLJ1125.7+0010   0.00300000      152.000      157.000
ACT-CLJ1127.5+0003   0.00100000      153.000      172.000
ACT-CLJ1128.3-0058    0.0300000      199.000      157.000
ACT-CLJ1129.8+0256   0.00700000      207.033      210.033
ACT-CLJ1131.6-0107   0.00300000      153.000      261.000
ACT-CLJ1134.0+0116   0.00100000      153.000      157.000
ACT-CLJ1136.9+0006    0.0300000      164.607      166.607
ACT-CLJ1138.5-0011   0.00700000      154.000      201.000
ACT-CLJ1139.3+0154   0.00300000      230.000      157.000
ACT-CLJ1145.1-0100   0.00100000      231.246      231.246
ACT-CLJ1148.0-0234    0.0300000      157.000      156.000
ACT-CLJ1224.3+0211   0.00700000      169.000      156.000
ACT-CLJ1238.5-0004   0.00300000      185.820      188.820
ACT-CLJ1241.0+0010   0.00100000      153.000      231.000
ACT-CLJ1250.6+0036    0.0300000      259.000      157.000
ACT-CLJ1256.7+0235   0.00700000      152.000      157.000
ACT-CLJ1326.8+0216   0.00300000      154.000      172.000
ACT-CLJ1327.0+0212   0.00100000      197.000      157.000
ACT-CLJ1328.4-0038    0.0300000      205.033      210.033
ACT-CLJ1331.1+0100   0.00700000      153.000      262.000
ACT-CLJ1332.8-0006   0.00300000      153.000      157.000
ACT-CLJ1336.8-0104   0.00100000      164.607      167.607
ACT-CLJ1340.9-0152    0.0300000      153.000      201.000
ACT-CLJ1343.1-0000   0.00700000      226.000      157.000
ACT-CLJ0203.9-0205   0.00300000      228.246      232.246
ACT-CLJ0204.5+0321   0.00100000      153.000      159.000
ACT-CLJ0204.7-0116    0.0300000      167.000      159.000
ACT-CLJ0204.8-0303   0.00700000      183.820      190.820
ACT-CLJ0205.2-0439   0.00300000      150.000      233.000
ACT-CLJ0205.9-0307   0.00100000      255.000      158.000
ACT-CLJ0206.2-0114    0.0300000      151.000      151.000
ACT-CLJ0206.4-0118   0.00700000      152.000      172.000
ACT-CLJ0206.9-0119   0.00300000      197.000      157.000
ACT-CLJ0207.2+0536   0.00100000      205.033      212.033
ACT-CLJ0207.7+0020    0.0300000      154.000      262.000
ACT-CLJ0208.2-0237   0.00700000      152.000      151.000
ACT-CLJ0208.3-0255   0.00300000      163.607      166.607
ACT-CLJ0209.6+0222   0.00100000      154.000      201.000
ACT-CLJ0209.9+0038    0.0300000      229.000      158.000
ACT-CLJ0210.0-0243   0.00700000      231.246      232.246
ACT-CLJ0210.1+0254   0.00300000      157.000      159.000
ACT-CLJ0211.1-0453   0.00100000      172.000      159.000
ACT-CLJ0211.2-0343    0.0300000      189.820      191.820
ACT-CLJ0211.9-0146   0.00700000      159.000      235.000
ACT-CLJ0212.5+0152   0.00300000      266.000      160.000
ACT-CLJ0212.5-0037   0.00100000      161.000      160.000
ACT-CLJ0214.7-0432    0.0300000      160.000      175.000
ACT-CLJ0215.4+0030   0.00700000      206.000      160.000
ACT-CLJ0215.4-0440   0.00300000      214.033      213.033
ACT-CLJ0215.6-0113   0.00100000      162.000      261.000
ACT-CLJ0215.8-0041    0.0300000      162.000      159.000
ACT-CLJ0217.7-0345   0.00700000      174.607      169.607
ACT-CLJ0217.8-0048   0.00300000      151.000      203.000
ACT-CLJ0218.1-0214   0.00100000      227.000      157.000
ACT-CLJ0218.2-0041    0.0300000      227.246      231.246
ACT-CLJ0218.5-0114   0.00700000      153.000      156.000
ACT-CLJ0218.7-0014   0.00300000      167.000      155.000
ACT-CLJ0219.0+0303   0.00100000      188.820      188.820
ACT-CLJ0219.8+0022    0.0300000      158.000      233.000
ACT-CLJ0219.9+0130   0.00700000      262.000      159.000
ACT-CLJ0219.9+0246   0.00300000      158.000      159.000
ACT-CLJ0220.9-0332   0.00100000      159.000      174.000
ACT-CLJ0221.6-0012    0.0300000      205.000      160.000
ACT-CLJ0221.7-0346   0.00700000      213.033      213.033
ACT-CLJ0221.9-0340   0.00300000      162.000      266.000
ACT-CLJ0222.2+0520   0.00100000      162.000      160.000
ACT-CLJ0223.1-0057    0.0300000      172.607      170.607
ACT-CLJ0223.6+0020   0.00700000      162.000      204.000
ACT-CLJ0224.5+0102   0.00300000      239.000      159.000
ACT-CLJ0224.5-0002   0.00100000      236.246      233.246
ACT-CLJ0225.4-0355    0.0300000      161.000      160.000
ACT-CLJ0226.4+0426   0.00700000      177.000      160.000
ACT-CLJ0227.6-0318   0.00300000      193.820      191.820
ACT-CLJ0228.4+0030   0.00100000      161.000      236.000
ACT-CLJ0229.6-0336    0.0300000      265.000      160.000
ACT-CLJ0230.9+0248   0.00700000      161.000      160.000
ACT-CLJ0231.7-0453   0.00300000      161.000      175.000
ACT-CLJ0232.1+0230   0.00100000      205.000      159.000
ACT-CLJ0232.7+0214    0.0300000      212.033      213.033
ACT-CLJ0232.7+0350   0.00700000      159.000      264.000
ACT-CLJ0233.2+0211   0.00300000      157.000      159.000
ACT-CLJ0233.2+0248   0.00100000      166.607      170.607
ACT-CLJ0233.2+0448    0.0300000      155.000      204.000
ACT-CLJ0233.6-0530   0.00700000      232.000      159.000
ACT-CLJ0233.7+0127   0.00300000      228.246      233.246
ACT-CLJ0234.5-0107   0.00100000      151.000      158.000
ACT-CLJ0234.6-0259    0.0300000      170.000      160.000
ACT-CLJ0235.2-0323   0.00700000      171.820      184.820
ACT-CLJ0235.2-0323   0.00300000      155.000      234.000
ACT-CLJ0235.5-0005   0.00100000      262.000      158.000
ACT-CLJ0236.5+0106    0.0300000      155.000      160.000
ACT-CLJ0236.7-0228   0.00700000      159.000      174.000
ACT-CLJ0237.6-0423   0.00300000      200.000      159.000
ACT-CLJ0238.1+0306   0.00100000      209.033      212.033
ACT-CLJ0239.3-0332    0.0300000      154.000      263.000
ACT-CLJ0239.8-0134   0.00700000      153.000      160.000
ACT-CLJ0240.0+0116   0.00300000      164.607      169.607
ACT-CLJ0240.0+0303   0.00100000      153.000      204.000
ACT-CLJ0241.2-0018    0.0300000      227.000      159.000
ACT-CLJ0241.4-0433   0.00700000      224.246      232.246
ACT-CLJ0242.2-0345   0.00300000      151.000      159.000
ACT-CLJ0242.7-0226   0.00100000      166.000      159.000
ACT-CLJ0242.7-0450    0.0300000      181.820      188.820
ACT-CLJ0242.9-0250   0.00700000      153.000      231.000
ACT-CLJ0243.2+0256   0.00300000      258.000      158.000
ACT-CLJ0245.2+0032   0.00100000      153.000      156.000
ACT-CLJ0245.2+0407    0.0300000      152.000      171.000
ACT-CLJ0245.2-0240   0.00700000      198.000      156.000
ACT-CLJ0245.7-0028   0.00300000      207.033      210.033
ACT-CLJ0245.8-0042   0.00100000      157.000      262.000
ACT-CLJ0246.4+0429    0.0300000      155.000      159.000
ACT-CLJ0247.3-0156   0.00700000      168.607      170.607
ACT-CLJ0248.0-0331   0.00300000      159.000      204.000
ACT-CLJ0248.2+0238   0.00100000      237.000      160.000
ACT-CLJ0248.2-0216    0.0300000      236.246      235.246
ACT-CLJ0248.3+0122   0.00700000      159.000      160.000
ACT-CLJ0248.3-0337   0.00300000      176.000      160.000
ACT-CLJ0248.7-0019   0.00100000      190.820      191.820
ACT-CLJ0248.9-0328    0.0300000      159.000      234.000
ACT-CLJ0249.6+0210   0.00700000      261.000      159.000
ACT-CLJ0250.1+0008   0.00300000      157.000      159.000
ACT-CLJ0253.5-0017   0.00100000      156.000      174.000
ACT-CLJ0254.4-0538    0.0300000      202.000      159.000
ACT-CLJ0256.5+0006   0.00700000      209.033      212.033
ACT-CLJ0257.0-0300   0.00300000      154.000      264.000
ACT-CLJ0258.4+0147   0.00100000      155.000      159.000
ACT-CLJ0259.4-0524    0.0300000      167.607      168.607
ACT-CLJ0259.8-0037   0.00700000      153.000      203.000
ACT-CLJ0259.8-0037   0.00300000      230.000      158.000
ACT-CLJ0300.2+0125   0.00100000      227.246      232.246
ACT-CLJ0300.2+0125    0.0300000      155.000      158.000
ACT-CLJ0301.5-0248   0.00700000      168.000      158.000
ACT-CLJ0301.5-0248   0.00300000      170.820      156.820
ACT-CLJ0201.6-0211   0.00100000      161.000      234.000
ACT-CLJ0201.6-0503    0.0300000      265.000      159.000
ACT-CLJ0203.0-0042   0.00700000      162.000      159.000
ACT-CLJ0203.2-0123   0.00300000      162.000      175.000
ACT-CLJ0203.7+0216   0.00100000      207.000      160.000
ACT-CLJ0226.4+0426    0.0300000      216.033      213.033
ACT-CLJ0227.6-0318   0.00700000      163.000      264.000
ACT-CLJ0228.4+0030   0.00300000      162.000      160.000
ACT-CLJ0245.7-0028   0.00100000      167.607      167.607
ACT-CLJ0245.8-0042    0.0300000      156.000      202.000
ACT-CLJ0246.4+0429   0.00700000      229.000      156.000
ACT-CLJ0247.3-0156   0.00300000      229.246      230.246
ACT-CLJ0248.0-0331   0.00100000      152.000      156.000
ACT-CLJ0248.2+0238    0.0300000      166.000      157.000
ACT-CLJ0248.2-0216   0.00700000      182.820      188.820
ACT-CLJ0248.3+0122   0.00300000      151.000      233.000
ACT-CLJ0248.3-0337   0.00100000      256.000      159.000
ACT-CLJ0248.7-0019    0.0300000      151.000      158.000
ACT-CLJ0248.9-0328   0.00700000      151.000      174.000
ACT-CLJ0249.6+0210   0.00300000      197.000      159.000
ACT-CLJ0250.1+0008   0.00100000      206.033      212.033
ACT-CLJ0253.5-0017    0.0300000      154.000      264.000
ACT-CLJ0254.4-0538   0.00700000      152.000      159.000
ACT-CLJ0256.5+0006   0.00300000      166.607      168.607
ACT-CLJ0257.0-0300   0.00100000      155.000      204.000
ACT-CLJ0258.4+0147    0.0300000      233.000      159.000
ACT-CLJ0259.4-0524   0.00700000      232.246      232.246
ACT-CLJ0301.5-0248   0.00300000      157.000      158.000
